HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username,NumberOfSimilarHITs,Description,RequesterAnnotation,AutoApprovalDelayInSeconds,Last30DaysApprovalRate,AutoApprovalTime,LifetimeInSeconds,Reward,RequesterFeedback,Approve,ApprovalTime,Last7DaysApprovalRate,RejectionTime,AssignmentStatus,LifetimeApprovalRate,Input.question_id,Reject,Keywords,Expiration
476670,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22169,52,Thu Feb 24 13:03:23 UTC 2022,Thu Feb 24 13:03:31 UTC 2022,8,"[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple sliced or chopped?"",""Was the apple sliced or chopped?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476670,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:06 PDT 2022,10,3600,3RYC5T2D74YTBFD971KKJDOL07NRPU,A2L9763BW12NLA,Fri Apr 08 16:25:32 PDT 2022,Fri Apr 08 16:25:37 PDT 2022,5,"[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple sliced or chopped?"",""Was the apple sliced or chopped?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:25:37 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),445745002,,"images, questions, language",Fri Apr 15 12:36:06 PDT 2022
476670,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22314,141,Sat Feb 26 17:34:40 UTC 2022,Sat Feb 26 20:20:07 UTC 2022,9927,"[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple sliced or chopped?"",""Was the apple sliced or chopped?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476670,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22439,139,Wed Mar 02 18:45:38 UTC 2022,Wed Mar 02 18:52:44 UTC 2022,426,"[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple on the right sliced or chopped?"",""Was the apple in the hand sliced or chopped?""]",false,,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476671,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22170,52,Thu Feb 24 13:03:31 UTC 2022,Thu Feb 24 13:03:38 UTC 2022,7,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476671,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:06 PDT 2022,10,3600,3MAOD8E57RFD5QN80LDK465E19BXN4,A2L9763BW12NLA,Fri Apr 08 16:36:41 PDT 2022,Fri Apr 08 16:36:46 PDT 2022,5,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue and white""}, {""id"": ""g1.1"", ""content"": ""blue, white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""}],[{""id"":""g1.0"",""content"":""blue and white""},{""id"":""g1.1"",""content"":""blue, white""}]]","[""What color are the walls?"",""What color are the walls?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:36:46 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),447840008,,"images, questions, language",Fri Apr 15 12:36:06 PDT 2022
476671,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22331,141,Sat Feb 26 20:20:11 UTC 2022,Sat Feb 26 20:20:24 UTC 2022,13,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476671,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22440,139,Wed Mar 02 18:52:51 UTC 2022,Wed Mar 02 18:54:07 UTC 2022,76,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""}],[{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?"",""What color are the walls?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476672,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22171,52,Thu Feb 24 13:03:38 UTC 2022,Thu Feb 24 13:04:07 UTC 2022,29,"[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476672,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:08 PDT 2022,10,3600,37Z929RLGAD34M6T37T9EXUEBCUTSS,A2L9763BW12NLA,Fri Apr 08 16:34:56 PDT 2022,Fri Apr 08 16:35:06 PDT 2022,10,"[[{""id"": ""g0.0"", ""content"": ""bear pins""}], [{""id"": ""g1.0"", ""content"": ""toys""}], [{""id"": ""g2.0"", ""content"": ""teddy bears""}, {""id"": ""g2.1"", ""content"": ""tiny teddy bears""}, {""id"": ""g2.2"", ""content"": ""teddy bear""}, {""id"": ""g2.3"", ""content"": ""teddy bear clips""}], [{""id"": ""g3.0"", ""content"": ""bears""}], [{""id"": ""g4.0"", ""content"": ""stuffed bears""}, {""id"": ""g4.1"", ""content"": ""stuffed animals""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000289583.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""bear pins""}],[{""id"":""g1.0"",""content"":""toys""}],[{""id"":""g2.0"",""content"":""teddy bears""},{""id"":""g2.1"",""content"":""tiny teddy bears""},{""id"":""g2.2"",""content"":""teddy bear""},{""id"":""g2.3"",""content"":""teddy bear clips""}],[{""id"":""g3.0"",""content"":""bears""}],[{""id"":""g4.0"",""content"":""stuffed bears""},{""id"":""g4.1"",""content"":""stuffed animals""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:35:06 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),289583000,,"images, questions, language",Fri Apr 15 12:36:08 PDT 2022
