"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.answerGroups","Input.answerQuestions","Input.imgUrl","Input.questionStr","Input.question_id","Answer.answer_groups","Answer.answer_questions","Answer.is_skip","Answer.skipCheck","Answer.skip_reason","Turkle.Username"
"495503","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23754","129","Thu Jun 02 16:32:44 UTC 2022","Thu Jun 02 16:33:06 UTC 2022","22","[[{""id"": ""g0.5"", ""content"": ""lettuce""}], [{""id"": ""g1.1"", ""content"": ""garnish""}]]","[""What is the bottom left food item with the green colors?"", ""What is the top right food item with the green colors?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000480779.jpg""","""What is the food item with the green colors?""","480779000","[[{""id"":""g0.5"",""content"":""lettuce""}],[{""id"":""g1.1"",""content"":""garnish""}]]","[""What is the bottom left food item with the green colors?"",""What is the top right food item with the green colors?""]","true","value","""All answer the same question""","jgualla1"
"495504","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23755","129","Thu Jun 02 16:33:06 UTC 2022","Thu Jun 02 16:33:51 UTC 2022","45","[[{""id"": ""g0.5"", ""content"": ""sauce""}], [{""id"": ""g1.0"", ""content"": ""meat""}], [{""id"": ""g2.0"", ""content"": ""sweet potato""}]]","[""What is and liquid red in the picture?"", ""What is red and animal in the picture?"", ""What vegetable is red in the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000306621.jpg""","""What is red in the picture?""","306621004","[[{""id"":""g0.5"",""content"":""sauce""}],[{""id"":""g2.0"",""content"":""sweet potato""}]]","[""What is read and liquid in the picture?"",""What vegetable is red in the picture?""]","false","","""All answer the same question""","jgualla1"
"495505","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23756","129","Thu Jun 02 16:33:51 UTC 2022","Thu Jun 02 16:34:51 UTC 2022","60","[[{""id"": ""g0.0"", ""content"": ""celery""}], [{""id"": ""g1.1"", ""content"": ""carrots""}]]","[""What type of green vegetable is on the plate?"", ""What type of orange vegetable is on the plate?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""","448653002","[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]","true","value","""flag""","jgualla1"
"495506","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23757","129","Thu Jun 02 16:34:51 UTC 2022","Thu Jun 02 16:36:38 UTC 2022","107","[[{""id"": ""g0.0"", ""content"": ""fruit""}], [{""id"": ""g1.5"", ""content"": ""fried""}], [{""id"": ""g2.1"", ""content"": ""donuts & fruit""}]]","[""What type of non fried dessert is this?"", ""What type of fried dessert is this?"", ""What whole type of dessert is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""","297665013","[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""How is the dessert is on the right of the plate made?"",""What whole type of dessert is this?""]","true","value","""flag""","jgualla1"
"495507","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23758","129","Thu Jun 02 16:36:38 UTC 2022","Thu Jun 02 16:36:55 UTC 2022","17","[[{""id"": ""g0.3"", ""content"": ""parking payment""}], [{""id"": ""g1.0"", ""content"": ""change""}], [{""id"": ""g2.2"", ""content"": ""credit card""}]]","[""What is the small central slot for?"", ""What is the open bottom right slot for?"", ""What is the wide leftmost slot for?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012556.jpg""","""What is the slot for?""","12556002","[[{""id"":""g0.3"",""content"":""parking payment""}],[{""id"":""g1.0"",""content"":""change""}],[{""id"":""g2.2"",""content"":""credit card""}]]","[""What is the small central slot for?"",""What is the open bottom right slot for?"",""What is the wide leftmost slot for?""]","true","value","""All answer the same question""","jgualla1"
"495508","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23759","129","Thu Jun 02 16:36:55 UTC 2022","Thu Jun 02 16:37:22 UTC 2022","27","[[{""id"": ""g0.2"", ""content"": ""limes""}], [{""id"": ""g1.0"", ""content"": ""limes and starfruit""}], [{""id"": ""g2.1"", ""content"": ""banana""}], [{""id"": ""g3.0"", ""content"": ""mangos""}]]","[""What small green fruit is on the newspaper?"", ""What fruits are on the newspaper?"", ""What yellow fruit is on the newspaper?"", ""What round orange fruit is on the newspaper?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000203881.jpg""","""What fruit is on the newspaper?""","203881021","[[{""id"":""g0.2"",""content"":""limes""}],[{""id"":""g1.0"",""content"":""limes and starfruit""}],[{""id"":""g2.1"",""content"":""banana""}],[{""id"":""g3.0"",""content"":""mangos""}]]","[""What small green fruit is on the newspaper?"",""What fruits are on the newspaper?"",""What yellow fruit is on the newspaper?"",""What round orange fruit is on the newspaper?""]","true","value","""delete""","jgualla1"
"495509","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23760","129","Thu Jun 02 16:37:22 UTC 2022","Thu Jun 02 16:38:43 UTC 2022","81","[[{""id"": ""g0.1"", ""content"": ""ketchup""}], [{""id"": ""g1.1"", ""content"": ""relish""}], [{""id"": ""g2.1"", ""content"": ""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"", ""What vegetable condiment is on the hot dogs?"", ""What condiments are on the hot dogs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""","252602002","[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]","true","value","""flag""","jgualla1"
"495510","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23761","129","Thu Jun 02 16:38:43 UTC 2022","Thu Jun 02 16:38:58 UTC 2022","15","[[{""id"": ""g0.4"", ""content"": ""rowboat""}], [{""id"": ""g1.1"", ""content"": ""sailboat""}]]","[""What type of boat is the small one near the front?"", ""What type of boat are the boats in the background?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466713.jpg""","""What type of boat is this?""","466713012","[[{""id"":""g0.4"",""content"":""rowboat""}],[{""id"":""g1.1"",""content"":""sailboat""}]]","[""What type of boat is the small one near the front?"",""What type of boat are the boats in the background?""]","true","value","""All answer the same question""","jgualla1"
"495511","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23762","129","Thu Jun 02 16:38:58 UTC 2022","Thu Jun 02 16:39:22 UTC 2022","24","[[{""id"": ""g0.2"", ""content"": ""slim jim""}], [{""id"": ""g1.4"", ""content"": ""phone""}]]","[""What is the boy holding in his right hand?"", ""What is the boy holding in his left hand?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333663.jpg""","""What is the boy holding in his hands?""","333663002","[[{""id"":""g0.2"",""content"":""slim jim""}],[{""id"":""g1.4"",""content"":""phone""}]]","[""What is the boy holding in his right hand?"",""What is the boy holding in his left hand?""]","true","value","""delete""","jgualla1"
"495512","727","jimena_test_for_annotator_uncertainty","Thu Jun 02 16:32:23 UTC 2022","1","86400","23763","129","Thu Jun 02 16:39:22 UTC 2022","Thu Jun 02 16:39:46 UTC 2022","24","[[{""id"": ""g0.0"", ""content"": ""door""}], [{""id"": ""g1.3"", ""content"": ""toaster""}], [{""id"": ""g2.0"", ""content"": ""window""}]]","[""What is the white object in the left corner of the picture?"", ""What is the white object in the corner of the kitchen?"", ""What is the white object in the right corner of the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000413984.jpg""","""What is the white object in the corner?""","413984001","[[{""id"":""g0.0"",""content"":""door""}],[{""id"":""g1.3"",""content"":""toaster""}],[{""id"":""g2.0"",""content"":""window""}]]","[""What is the white object in the left corner of the picture?"",""What is the white object in the corner of the kitchen?"",""What is the white object in the right corner of the picture?""]","true","value","""All answer the same question""","jgualla1"
