HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
515750,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24477,129,Thu Jun 23 18:57:39 UTC 2022,Thu Jun 23 18:59:46 UTC 2022,127,"[[{""id"": ""g0.5"", ""content"": ""lettuce""}], [{""id"": ""g1.1"", ""content"": ""garnish""}]]","[""What is the bottom left food item with the green colors?"", ""What is the top right food item with the green colors?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000480779.jpg""","""What is the food item with the green colors?""",480779000,"[[{""id"":""g0.5"",""content"":""lettuce""}],[{""id"":""g1.1"",""content"":""garnish""}]]","[""What is the bottom left food item with the green colors?"",""What is the top right food item with the green colors?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M""]",jgualla1
515751,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24478,129,Thu Jun 23 18:59:51 UTC 2022,Fri Jun 24 15:49:59 UTC 2022,75008,"[[{""id"": ""g0.5"", ""content"": ""sauce""}], [{""id"": ""g1.0"", ""content"": ""meat""}], [{""id"": ""g2.0"", ""content"": ""sweet potato""}]]","[""What is and liquid red in the picture?"", ""What is red and animal in the picture?"", ""What vegetable is red in the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000306621.jpg""","""What is red in the picture?""",306621004,"[[{""id"":""g0.5"",""content"":""sauce""}],[{""id"":""g1.0"",""content"":""meat""}],[{""id"":""g2.0"",""content"":""sweet potato""}]]","[""What is and liquid red in the picture?"",""What is red and animal in the picture?"",""What vegetable is red in the picture?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M""]",jgualla1
515752,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24479,129,Fri Jun 24 15:49:59 UTC 2022,Fri Jun 24 15:50:13 UTC 2022,14,"[[{""id"": ""g0.0"", ""content"": ""celery""}], [{""id"": ""g1.1"", ""content"": ""carrots""}]]","[""What type of green vegetable is on the plate?"", ""What type of orange vegetable is on the plate?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""",448653002,"[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M""]",jgualla1
515753,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24480,129,Fri Jun 24 15:50:13 UTC 2022,Fri Jun 24 15:50:43 UTC 2022,30,"[[{""id"": ""g0.0"", ""content"": ""fruit""}], [{""id"": ""g1.5"", ""content"": ""fried""}], [{""id"": ""g2.1"", ""content"": ""donuts & fruit""}]]","[""What type of non fried dessert is this?"", ""What type of fried dessert is this?"", ""What whole type of dessert is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""",297665013,"[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""What type of fried dessert is this?"",""What whole type of dessert is this?""]",true,value,"[""A/M.A/G"", ""A/M.A/G"", ""A/K, A/M""]",jgualla1
515754,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24481,129,Fri Jun 24 15:50:43 UTC 2022,Fri Jun 24 15:50:51 UTC 2022,8,"[[{""id"": ""g0.3"", ""content"": ""parking payment""}], [{""id"": ""g1.0"", ""content"": ""change""}], [{""id"": ""g2.2"", ""content"": ""credit card""}]]","[""What is the small central slot for?"", ""What is the open bottom right slot for?"", ""What is the wide leftmost slot for?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012556.jpg""","""What is the slot for?""",12556002,"[[{""id"":""g0.3"",""content"":""parking payment""}],[{""id"":""g1.0"",""content"":""change""}],[{""id"":""g2.2"",""content"":""credit card""}]]","[""What is the small central slot for?"",""What is the open bottom right slot for?"",""What is the wide leftmost slot for?""]",true,value,"[""A/M"", ""A/M"", ""A/D. A/M. ""]",jgualla1
515755,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24482,129,Fri Jun 24 15:50:51 UTC 2022,Fri Jun 24 15:51:13 UTC 2022,22,"[[{""id"": ""g0.2"", ""content"": ""limes""}], [{""id"": ""g1.0"", ""content"": ""limes and starfruit""}], [{""id"": ""g2.1"", ""content"": ""banana""}], [{""id"": ""g3.0"", ""content"": ""mangos""}]]","[""What small green fruit is on the newspaper?"", ""What fruits are on the newspaper?"", ""What yellow fruit is on the newspaper?"", ""What round orange fruit is on the newspaper?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000203881.jpg""","""What fruit is on the newspaper?""",203881021,"[[{""id"":""g0.2"",""content"":""limes""}],[{""id"":""g1.0"",""content"":""limes and starfruit""}],[{""id"":""g2.1"",""content"":""banana""}],[{""id"":""g3.0"",""content"":""mangos""}]]","[""What small green fruit is on the newspaper?"",""What fruits are on the newspaper?"",""What yellow fruit is on the newspaper?"",""What round orange fruit is on the newspaper?""]",true,value,"[""\""A/M.A/G\"""", ""A/M.A/G"", ""A/G. A/M""]",jgualla1
515756,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24483,129,Fri Jun 24 15:51:13 UTC 2022,Fri Jun 24 15:51:22 UTC 2022,9,"[[{""id"": ""g0.1"", ""content"": ""ketchup""}], [{""id"": ""g1.1"", ""content"": ""relish""}], [{""id"": ""g2.1"", ""content"": ""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"", ""What vegetable condiment is on the hot dogs?"", ""What condiments are on the hot dogs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""",252602002,"[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]",true,value,"[""\""A/M.A/G\"""", ""A/M.A/G"", ""A/M. A/G. ""]",jgualla1
515757,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24484,129,Fri Jun 24 15:51:22 UTC 2022,Fri Jun 24 15:51:28 UTC 2022,6,"[[{""id"": ""g0.4"", ""content"": ""rowboat""}], [{""id"": ""g1.1"", ""content"": ""sailboat""}]]","[""What type of boat is the small one near the front?"", ""What type of boat are the boats in the background?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466713.jpg""","""What type of boat is this?""",466713012,"[[{""id"":""g0.4"",""content"":""rowboat""}],[{""id"":""g1.1"",""content"":""sailboat""}]]","[""What type of boat is the small one near the front?"",""What type of boat are the boats in the background?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M.     ""]",jgualla1
515758,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24485,129,Fri Jun 24 15:51:28 UTC 2022,Fri Jun 24 15:51:43 UTC 2022,15,"[[{""id"": ""g0.2"", ""content"": ""slim jim""}], [{""id"": ""g1.4"", ""content"": ""phone""}]]","[""What is the boy holding in his right hand?"", ""What is the boy holding in his left hand?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333663.jpg""","""What is the boy holding in his hands?""",333663002,"[[{""id"":""g0.2"",""content"":""slim jim""}],[{""id"":""g1.4"",""content"":""phone""}]]","[""What is the boy holding in his right hand?"",""What is the boy holding in his left hand?""]",true,value,"[""A/M"", ""A/M"", ""A/M. M/B""]",jgualla1
515759,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24486,129,Fri Jun 24 15:51:43 UTC 2022,Fri Jun 24 15:51:49 UTC 2022,6,"[[{""id"": ""g0.0"", ""content"": ""door""}], [{""id"": ""g1.3"", ""content"": ""toaster""}], [{""id"": ""g2.0"", ""content"": ""window""}]]","[""What is the white object in the left corner of the picture?"", ""What is the white object in the corner of the kitchen?"", ""What is the white object in the right corner of the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000413984.jpg""","""What is the white object in the corner?""",413984001,"[[{""id"":""g0.0"",""content"":""door""}],[{""id"":""g1.3"",""content"":""toaster""}],[{""id"":""g2.0"",""content"":""window""}]]","[""What is the white object in the left corner of the picture?"",""What is the white object in the corner of the kitchen?"",""What is the white object in the right corner of the picture?""]",true,value,"[""A/M"", ""A/M"", ""A/L ""]",jgualla1
515760,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24487,129,Fri Jun 24 15:51:49 UTC 2022,Fri Jun 24 15:51:57 UTC 2022,8,"[[{""id"": ""g0.0"", ""content"": ""black""}], [{""id"": ""g1.0"", ""content"": ""red""}]]","[""What color are the olives on the top of the pizza?"", ""What color is the pepperoni on the top of the pizza?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000214955.jpg""","""What color is the topping on the top of the pizza?""",214955005,"[[{""id"":""g0.0"",""content"":""black""}],[{""id"":""g1.0"",""content"":""red""}]]","[""What color are the olives on the top of the pizza?"",""What color is the pepperoni on the top of the pizza?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M""]",jgualla1
515761,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24488,129,Fri Jun 24 15:51:57 UTC 2022,Fri Jun 24 15:52:05 UTC 2022,8,"[[{""id"": ""g0.7"", ""content"": ""sandwich and soup""}], [{""id"": ""g1.0"", ""content"": ""burger and potatoes""}]]","[""What items are on the front center plate?"", ""What items are on the left most plate?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000190939.jpg""","""What items are on the main plate?""",190939007,"[[{""id"":""g0.7"",""content"":""sandwich and soup""}],[{""id"":""g1.0"",""content"":""burger and potatoes""}]]","[""What items are on the front center plate?"",""What items are on the left most plate?""]",true,value,"[""\""A/M\"""", ""A/M"", ""A/M.     ""]",jgualla1
