HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
0,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21515,52,Mon Feb 07 18:39:55 UTC 2022,Mon Feb 07 18:43:28 UTC 2022,213,"[[{""id"": ""g0.0"", ""content"": ""jug""}], [{""id"": ""g1.0"", ""content"": ""milk""}], [{""id"": ""g2.0"", ""content"": ""cup""}], [{""id"": ""g3.0"", ""content"": ""container""}], [{""id"": ""g4.0"", ""content"": ""eggs""}], [{""id"": ""g5.0"", ""content"": ""spoon""}], [{""id"": ""g6.0"", ""content"": ""bottle""}], [{""id"": ""g7.0"", ""content"": ""broccoli""}], [{""id"": ""g8.0"", ""content"": ""grapes""}]]","[""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000438671.jpg""","""What sits on the left hand side of the bowl?""","[[{""id"":""g6.0"",""content"":""bottle""},{""id"":""g3.0"",""content"":""container""},{""id"":""g1.0"",""content"":""milk""},{""id"":""g2.0"",""content"":""cup""},{""id"":""g0.0"",""content"":""jug""}],[{""id"":""g5.0"",""content"":""spoon""},{""id"":""g4.0"",""content"":""eggs""}]]","""What sits in the left hand side of the bowl?""",false,,"""All answer the same question""",esteng
0,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21576,129,Tue Feb 08 18:14:55 UTC 2022,Wed Feb 09 20:24:29 UTC 2022,94174,"[[{""id"": ""g0.0"", ""content"": ""jug""}], [{""id"": ""g1.0"", ""content"": ""milk""}], [{""id"": ""g2.0"", ""content"": ""cup""}], [{""id"": ""g3.0"", ""content"": ""container""}], [{""id"": ""g4.0"", ""content"": ""eggs""}], [{""id"": ""g5.0"", ""content"": ""spoon""}], [{""id"": ""g6.0"", ""content"": ""bottle""}], [{""id"": ""g7.0"", ""content"": ""broccoli""}], [{""id"": ""g8.0"", ""content"": ""grapes""}]]","[""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000438671.jpg""","""What sits on the left hand side of the bowl?""","[[{""id"":""g6.0"",""content"":""bottle""},{""id"":""g3.0"",""content"":""container""},{""id"":""g2.0"",""content"":""cup""},{""id"":""g1.0"",""content"":""milk""},{""id"":""g0.0"",""content"":""jug""}],[{""id"":""g5.0"",""content"":""spoon""},{""id"":""g4.0"",""content"":""eggs""}]]","""What sits in the left hand side of the bowl?""",false,,"""All answer the same question""",jgualla1
1,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21516,52,Mon Feb 07 18:43:29 UTC 2022,Mon Feb 07 18:44:27 UTC 2022,58,"[[{""id"": ""g0.0"", ""content"": ""orioles""}], [{""id"": ""g1.0"", ""content"": ""orion""}], [{""id"": ""g2.0"", ""content"": ""oros""}], [{""id"": ""g3.0"", ""content"": ""birds""}]]","[""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439926.jpg""","""What team is the player in white on?""","[[{""id"":""g0.0"",""content"":""orioles""}],[{""id"":""g1.0"",""content"":""orion""}],[{""id"":""g2.0"",""content"":""oros""}],[{""id"":""g3.0"",""content"":""birds""}]]","[""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?""]",true,value,"""All answer the same question""",esteng
1,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21682,129,Wed Feb 09 20:24:35 UTC 2022,Wed Feb 09 20:25:45 UTC 2022,70,"[[{""id"": ""g0.0"", ""content"": ""orioles""}], [{""id"": ""g1.0"", ""content"": ""orion""}], [{""id"": ""g2.0"", ""content"": ""oros""}], [{""id"": ""g3.0"", ""content"": ""birds""}]]","[""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439926.jpg""","""What team is the player in white on?""","[[{""id"":""g0.0"",""content"":""orioles""}],[{""id"":""g1.0"",""content"":""orion""}],[{""id"":""g2.0"",""content"":""oros""}],[{""id"":""g3.0"",""content"":""birds""}]]","[""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?""]",true,value,"""All answer the same question""",jgualla1
2,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21517,52,Mon Feb 07 18:44:27 UTC 2022,Mon Feb 07 18:46:01 UTC 2022,94,"[[{""id"": ""g0.0"", ""content"": ""coats""}], [{""id"": ""g1.0"", ""content"": ""jackets""}, {""id"": ""g1.1"", ""content"": ""shirts""}], [{""id"": ""g2.0"", ""content"": ""toys""}], [{""id"": ""g3.0"", ""content"": ""stuffed animals""}, {""id"": ""g3.1"", ""content"": ""tiny horses""}], [{""id"": ""g4.0"", ""content"": ""teddy bears""}]]","[""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441379.jpg""","""What do these animals have strapped to their backs?""","[[{""id"":""g0.0"",""content"":""coats""},{""id"":""g1.0"",""content"":""jackets""},{""id"":""g1.1"",""content"":""shirts""}],[{""id"":""g4.0"",""content"":""teddy bears""},{""id"":""g2.0"",""content"":""toys""},{""id"":""g3.0"",""content"":""stuffed animals""},{""id"":""g3.1"",""content"":""tiny horses""}]]","""What tiny thing do these animals have strapped to their backs?""",false,,"""All answer the same question""",esteng
2,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21683,129,Wed Feb 09 20:25:45 UTC 2022,Wed Feb 09 20:27:06 UTC 2022,81,"[[{""id"": ""g0.0"", ""content"": ""coats""}], [{""id"": ""g1.0"", ""content"": ""jackets""}, {""id"": ""g1.1"", ""content"": ""shirts""}], [{""id"": ""g2.0"", ""content"": ""toys""}], [{""id"": ""g3.0"", ""content"": ""stuffed animals""}, {""id"": ""g3.1"", ""content"": ""tiny horses""}], [{""id"": ""g4.0"", ""content"": ""teddy bears""}]]","[""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441379.jpg""","""What do these animals have strapped to their backs?""","[[{""id"":""g0.0"",""content"":""coats""},{""id"":""g1.0"",""content"":""jackets""},{""id"":""g1.1"",""content"":""shirts""}],[{""id"":""g2.0"",""content"":""toys""},{""id"":""g3.0"",""content"":""stuffed animals""},{""id"":""g3.1"",""content"":""tiny horses""},{""id"":""g4.0"",""content"":""teddy bears""}]]","""What object do these animals have strapped to their backs?""",false,,"""All answer the same question""",jgualla1
3,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21518,52,Mon Feb 07 18:46:01 UTC 2022,Mon Feb 07 18:46:22 UTC 2022,21,"[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""yes""}, {""id"": ""g1.1"", ""content"": ""maybe""}]]","[""Does the girl dye her hair?"", ""Does the girl dye her hair?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""Does the girl dye her hair?""","[[{""id"":""g0.0"",""content"":""no""}],[{""id"":""g1.0"",""content"":""yes""},{""id"":""g1.1"",""content"":""maybe""}]]","[""Does the girl dye her hair?"",""Does the girl dye her hair?""]",true,value,"""All answer the same question""",esteng
3,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21684,129,Wed Feb 09 20:27:06 UTC 2022,Wed Feb 09 20:27:15 UTC 2022,9,"[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""yes""}, {""id"": ""g1.1"", ""content"": ""maybe""}]]","[""Does the girl dye her hair?"", ""Does the girl dye her hair?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""Does the girl dye her hair?""","[[{""id"":""g0.0"",""content"":""no""}],[{""id"":""g1.0"",""content"":""yes""},{""id"":""g1.1"",""content"":""maybe""}]]","[""Does the girl dye her hair?"",""Does the girl dye her hair?""]",true,value,"""All answer the same question""",jgualla1
4,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21519,52,Mon Feb 07 18:46:22 UTC 2022,Mon Feb 07 18:48:12 UTC 2022,110,"[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g2.0"",""content"":""left""},{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g4.0"",""content"":""floor""},{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g1.1"",""content"":""on counter""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}]]","""What are the flowers in?""",false,,"""All answer the same question""",esteng
4,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21685,129,Wed Feb 09 20:27:15 UTC 2022,Wed Feb 09 20:28:08 UTC 2022,53,"[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g1.1"",""content"":""on counter""},{""id"":""g2.0"",""content"":""left""},{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g4.0"",""content"":""floor""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}]]","""What are the flowers in?""",false,,"""All answer the same question""",jgualla1
