imgUrl,questionStr,answerGroups,answerQuestions
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000435686.jpg""","""What is the weather?""","[[{""id"": ""g0.0"", ""content"": ""cloudy""}], [{""id"": ""g1.0"", ""content"": ""overcast""}], [{""id"": ""g2.0"", ""content"": ""sunny""}], [{""id"": ""g3.0"", ""content"": ""sunny, warm""}], [{""id"": ""g4.0"", ""content"": ""clear""}]]","[""What is the weather?"", ""What is the weather?"", ""What is the weather?"", ""What is the weather?"", ""What is the weather?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"": ""g0.0"", ""content"": ""lak309g""}, {""id"": ""g0.1"", ""content"": ""lak 3090""}, {""id"": ""g0.2"", ""content"": ""lak""}, {""id"": ""g0.3"", ""content"": ""3096""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000043774.jpg""","""What is written on the plate?""","[[{""id"": ""g0.0"", ""content"": ""heat protecting village happy 50th birthday""}, {""id"": ""g0.1"", ""content"": ""newt protecting village happy 50th birthday""}, {""id"": ""g0.2"", ""content"": ""protecting village happy 50th birthday""}], [{""id"": ""g1.0"", ""content"": ""newt, protecting village, happy 50th birthday""}, {""id"": ""g1.1"", ""content"": ""happy 50th birthday""}], [{""id"": ""g2.0"", ""content"": ""nothing""}]]","[""What is written on the plate?"", ""What is written on the plate?"", ""What is written on the plate?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000438671.jpg""","""What sits on the left hand side of the bowl?""","[[{""id"": ""g0.0"", ""content"": ""jug""}], [{""id"": ""g1.0"", ""content"": ""milk""}], [{""id"": ""g2.0"", ""content"": ""cup""}], [{""id"": ""g3.0"", ""content"": ""container""}], [{""id"": ""g4.0"", ""content"": ""eggs""}], [{""id"": ""g5.0"", ""content"": ""spoon""}], [{""id"": ""g6.0"", ""content"": ""bottle""}], [{""id"": ""g7.0"", ""content"": ""broccoli""}], [{""id"": ""g8.0"", ""content"": ""grapes""}]]","[""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""Does the girl dye her hair?""","[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""maybe""}, {""id"": ""g1.1"", ""content"": ""yes""}]]","[""Does the girl dye her hair?"", ""Does the girl dye her hair?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""What color is the boy's vest?""","[[{""id"": ""g0.0"", ""content"": ""no vest""}, {""id"": ""g0.1"", ""content"": ""no boy vest""}], [{""id"": ""g1.0"", ""content"": ""none""}], [{""id"": ""g2.0"", ""content"": ""no boy""}], [{""id"": ""g3.0"", ""content"": ""blue""}]]","[""What color is the boy's vest?"", ""What color is the boy's vest?"", ""What color is the boy's vest?"", ""What color is the boy's vest?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439926.jpg""","""What team is the player in white on?""","[[{""id"": ""g0.0"", ""content"": ""orioles""}], [{""id"": ""g1.0"", ""content"": ""orion""}], [{""id"": ""g2.0"", ""content"": ""oros""}], [{""id"": ""g3.0"", ""content"": ""birds""}]]","[""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440285.jpg""","""What kind of cake is that?""","[[{""id"": ""g0.0"", ""content"": ""banana""}, {""id"": ""g0.1"", ""content"": ""banana cream""}], [{""id"": ""g1.0"", ""content"": ""carrot""}, {""id"": ""g1.1"", ""content"": ""carrot cake""}], [{""id"": ""g2.0"", ""content"": ""spice""}], [{""id"": ""g3.0"", ""content"": ""raisin""}], [{""id"": ""g4.0"", ""content"": ""pumpkin""}]]","[""What kind of cake is that?"", ""What kind of cake is that?"", ""What kind of cake is that?"", ""What kind of cake is that?"", ""What kind of cake is that?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440314.jpg""","""In which direction is the wave moving?""","[[{""id"": ""g0.0"", ""content"": ""south""}], [{""id"": ""g1.0"", ""content"": ""forward""}], [{""id"": ""g2.0"", ""content"": ""right""}, {""id"": ""g2.1"", ""content"": ""left to right""}], [{""id"": ""g3.0"", ""content"": ""toward beach""}, {""id"": ""g3.1"", ""content"": ""down""}], [{""id"": ""g4.0"", ""content"": ""left""}]]","[""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440444.jpg""","""Whose house is this?""","[[{""id"": ""g0.0"", ""content"": ""don't know""}], [{""id"": ""g1.0"", ""content"": ""steve's""}], [{""id"": ""g2.0"", ""content"": ""man""}], [{""id"": ""g3.0"", ""content"": ""unknown""}, {""id"": ""g3.1"", ""content"": ""mom's""}], [{""id"": ""g4.0"", ""content"": ""man's""}]]","[""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440511.jpg""","""Why are the elephant lying down?""","[[{""id"": ""g0.0"", ""content"": ""resting""}], [{""id"": ""g1.0"", ""content"": ""tired""}], [{""id"": ""g2.0"", ""content"": ""circus""}], [{""id"": ""g3.0"", ""content"": ""they are not""}], [{""id"": ""g4.0"", ""content"": ""it's not""}], [{""id"": ""g5.0"", ""content"": ""training""}], [{""id"": ""g6.0"", ""content"": ""no""}], [{""id"": ""g7.0"", ""content"": ""playing""}]]","[""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440689.jpg""","""What is on the front of the bike?""","[[{""id"": ""g0.0"", ""content"": ""mirrors""}], [{""id"": ""g1.0"", ""content"": ""motorcycle""}], [{""id"": ""g2.0"", ""content"": ""another bike""}], [{""id"": ""g3.0"", ""content"": ""mirror""}], [{""id"": ""g4.0"", ""content"": ""tire""}]]","[""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440931.jpg""","""What is in the man's left hand?""","[[{""id"": ""g0.0"", ""content"": ""sandwich""}], [{""id"": ""g1.0"", ""content"": ""can't see""}], [{""id"": ""g2.0"", ""content"": ""money""}], [{""id"": ""g3.0"", ""content"": ""nothing""}], [{""id"": ""g4.0"", ""content"": ""hot dog""}], [{""id"": ""g5.0"", ""content"": ""gun""}], [{""id"": ""g6.0"", ""content"": ""food""}], [{""id"": ""g7.0"", ""content"": ""ice cream""}]]","[""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?"", ""What is in the man's left hand?""]"
