imgUrl,questionStr,answerGroups,answerQuestions
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000435554.jpg""","""Which direction is the tennis player's hat facing?""","[[{""id"": ""g0.0"", ""content"": ""left""}], [{""id"": ""g1.0"", ""content"": ""forward""}], [{""id"": ""g2.0"", ""content"": ""towards net""}], [{""id"": ""g3.0"", ""content"": ""front""}]]","[""Which direction is the tennis player's hat facing?"", ""Which direction is the tennis player's hat facing?"", ""Which direction is the tennis player's hat facing?"", ""Which direction is the tennis player's hat facing?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000435686.jpg""","""What is the weather?""","[[{""id"": ""g0.0"", ""content"": ""cloudy""}], [{""id"": ""g1.0"", ""content"": ""overcast""}], [{""id"": ""g2.0"", ""content"": ""sunny""}], [{""id"": ""g3.0"", ""content"": ""sunny, warm""}], [{""id"": ""g4.0"", ""content"": ""clear""}]]","[""What is the weather?"", ""What is the weather?"", ""What is the weather?"", ""What is the weather?"", ""What is the weather?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000435829.jpg""","""How many red train cars are in this image?""","[[{""id"": ""g0.0"", ""content"": ""1""}], [{""id"": ""g1.0"", ""content"": ""5""}], [{""id"": ""g2.0"", ""content"": ""3""}, {""id"": ""g2.1"", ""content"": ""4""}], [{""id"": ""g3.0"", ""content"": ""49""}], [{""id"": ""g4.0"", ""content"": ""10""}]]","[""How many red train cars are in this image?"", ""How many red train cars are in this image?"", ""How many red train cars are in this image?"", ""How many red train cars are in this image?"", ""How many red train cars are in this image?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000436287.jpg""","""How many windows are visible?""","[[{""id"": ""g0.0"", ""content"": ""17""}, {""id"": ""g0.1"", ""content"": ""24""}], [{""id"": ""g1.0"", ""content"": ""36""}, {""id"": ""g1.1"", ""content"": ""35""}, {""id"": ""g1.2"", ""content"": ""42""}], [{""id"": ""g2.0"", ""content"": ""25""}, {""id"": ""g2.1"", ""content"": ""20""}, {""id"": ""g2.2"", ""content"": ""30""}], [{""id"": ""g3.0"", ""content"": ""numerous""}], [{""id"": ""g4.0"", ""content"": ""52 many""}]]","[""How many windows are visible?"", ""How many windows are visible?"", ""How many windows are visible?"", ""How many windows are visible?"", ""How many windows are visible?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000436515.jpg""","""Is this person drunk?""","[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""yes""}], [{""id"": ""g2.0"", ""content"": ""maybe""}, {""id"": ""g2.1"", ""content"": ""possibly""}]]","[""Is this person drunk?"", ""Is this person drunk?"", ""Is this person drunk?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"": ""g0.0"", ""content"": ""lak309g""}, {""id"": ""g0.1"", ""content"": ""3096""}, {""id"": ""g0.2"", ""content"": ""lak 3090""}, {""id"": ""g0.3"", ""content"": ""lak""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000437102.jpg""","""How many books are red?""","[[{""id"": ""g0.0"", ""content"": ""28""}, {""id"": ""g0.1"", ""content"": ""29""}, {""id"": ""g0.2"", ""content"": ""38""}, {""id"": ""g0.3"", ""content"": ""18""}], [{""id"": ""g1.0"", ""content"": ""10""}, {""id"": ""g1.1"", ""content"": ""15""}, {""id"": ""g1.2"", ""content"": ""20""}], [{""id"": ""g2.0"", ""content"": ""several""}, {""id"": ""g2.1"", ""content"": ""dozens""}]]","[""How many books are red?"", ""How many books are red?"", ""How many books are red?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000437139.jpg""","""How many people can be seen?""","[[{""id"": ""g0.0"", ""content"": ""3""}, {""id"": ""g0.1"", ""content"": ""4""}, {""id"": ""g0.2"", ""content"": ""5""}]]","[""How many people can be seen?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000437300.jpg""","""What type of sink is this?""","[[{""id"": ""g0.0"", ""content"": ""pedestal""}], [{""id"": ""g1.0"", ""content"": ""pedal sink""}], [{""id"": ""g2.0"", ""content"": ""oval""}], [{""id"": ""g3.0"", ""content"": ""standing""}, {""id"": ""g3.1"", ""content"": ""standing sink""}], [{""id"": ""g4.0"", ""content"": ""bathroom sink""}, {""id"": ""g4.1"", ""content"": ""bathroom""}], [{""id"": ""g5.0"", ""content"": ""old-fashioned""}]]","[""What type of sink is this?"", ""What type of sink is this?"", ""What type of sink is this?"", ""What type of sink is this?"", ""What type of sink is this?"", ""What type of sink is this?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit//COCO_train2014_000000043774.jpg""","""How many plates in this stack?""","[[{""id"": ""g0.0"", ""content"": ""5""}, {""id"": ""g0.1"", ""content"": ""7""}, {""id"": ""g0.2"", ""content"": ""1""}, {""id"": ""g0.3"", ""content"": ""11""}, {""id"": ""g0.4"", ""content"": ""6""}]]","[""How many plates in this stack?""]"
